"","x"
"267","FBgn0261608"
"268","FBgn0031681"
"269","FBgn0031684"
"270","FBgn0031688"
"271","FBgn0031689"
"272","FBgn0031692"
"273","FBgn0000228"
"274","FBgn0031696"
"275","FBgn0016076"
"276","FBgn0031698"
"277","FBgn0031703"
"278","FBgn0016920"
"279","FBgn0016660"
"280","FBgn0261963"
"281","FBgn0031707"
"282","FBgn0031708"
"283","FBgn0000318"
"284","FBgn0031710"
"285","FBgn0031711"
"286","FBgn0051989"
"287","FBgn0031715"
"288","FBgn0051648"
"289","FBgn0051915"
"290","FBgn0031713"
"291","FBgn0014189"
"292","FBgn0002525"
"293","FBgn0031717"
"294","FBgn0031725"
"295","FBgn0051646"
"296","FBgn0031728"
"297","FBgn0031729"
"298","FBgn0031730"
"299","FBgn0024191"
"300","FBgn0031736"
"301","FBgn0031735"
"302","FBgn0085410"
"303","FBgn0031745"
"304","FBgn0043362"
"305","FBgn0001128"
"306","FBgn0031753"
"307","FBgn0031757"
"308","FBgn0031758"
"309","FBgn0000308"
"310","FBgn0001942"
"311","FBgn0001941"
"312","FBgn0031759"
"313","FBgn0031760"
"314","FBgn0001089"
"315","FBgn0031764"
"316","FBgn0031765"
"317","FBgn0025742"
"318","FBgn0031766"
"319","FBgn0000052"
"320","FBgn0031768"
"321","FBgn0031770"
"322","FBgn0031771"
"323","FBgn0031772"
"324","FBgn0031776"
"325","FBgn0031777"
"326","FBgn0028419"
"327","FBgn0031779"
"328","FBgn0051642"
"329","FBgn0031781"
"330","FBgn0031782"
"331","FBgn0261697"
"332","FBgn0085409"
"333","FBgn0053531"
"334","FBgn0021873"
"335","FBgn0031799"
"336","FBgn0015623"
"337","FBgn0259714"
"338","FBgn0031813"
"339","FBgn0031814"
"340","FBgn0031815"
"341","FBgn0259749"
"342","FBgn0031818"
"343","FBgn0086357"
"344","FBgn0031820"
"345","FBgn0031821"
"346","FBgn0027496"
"347","FBgn0031822"
"348","FBgn0051638"
"349","FBgn0031824"
"350","FBgn0000320"
"351","FBgn0031829"
"352","FBgn0031830"
"353","FBgn0031831"
"354","FBgn0031832"
"355","FBgn0026585"
"356","FBgn0031836"
"357","FBgn0031837"
"358","FBgn0031844"
"359","FBgn0028703"
"360","FBgn0025595"
"361","FBgn0031851"
"362","FBgn0046704"
"363","FBgn0031855"
"364","FBgn0015776"
"365","FBgn0015777"
"366","FBgn0031860"
"367","FBgn0086451"
"368","FBgn0031865"
"369","FBgn0031866"
"370","FBgn0031868"
"371","FBgn0028554"
"372","FBgn0026196"
"373","FBgn0031873"
"374","FBgn0020616"
"375","FBgn0031877"
"376","FBgn0016978"
"377","FBgn0031879"
"378","FBgn0000053"
"379","FBgn0031881"
"380","FBgn0031882"
"381","FBgn0031883"
"382","FBgn0051907"
"383","FBgn0031895"
"384","FBgn0031897"
"385","FBgn0259111"
"386","FBgn0031900"
"387","FBgn0002938"
"388","FBgn0031904"
"389","FBgn0031909"
"390","FBgn0031912"
"391","FBgn0260486"
"392","FBgn0085403"
"393","FBgn0031926"
"394","FBgn0040299"
"395","FBgn0041182"
"396","FBgn0041181"
"397","FBgn0031934"
"398","FBgn0053296"
"399","FBgn0031935"
"400","FBgn0031936"
"401","FBgn0031937"
"402","FBgn0031939"
"403","FBgn0260479"
"404","FBgn0031941"
"405","FBgn0031947"
"406","FBgn0031948"
"407","FBgn0025687"
"408","FBgn0031950"
"409","FBgn0031952"
"410","FBgn0261800"
"411","FBgn0004177"
"412","FBgn0031955"
"413","FBgn0261790"
"414","FBgn0083968"
"415","FBgn0031968"
"416","FBgn0031971"
"417","FBgn0031972"
"418","FBgn0031977"
"419","FBgn0044323"
"420","FBgn0031979"
"421","FBgn0031980"
"422","FBgn0011230"
"423","FBgn0013531"
"424","FBgn0031985"
"425","FBgn0031987"
"426","FBgn0261064"
"427","FBgn0031992"
"428","FBgn0031993"
"429","FBgn0031995"
"430","FBgn0031996"
"431","FBgn0031997"
"432","FBgn0031998"
"433","FBgn0031999"
"434","FBgn0015299"
"435","FBgn0032000"
"436","FBgn0032001"
"437","FBgn0032002"
"438","FBgn0032003"
"439","FBgn0032005"
"440","FBgn0261020"
"441","FBgn0032013"
"442","FBgn0032014"
"443","FBgn0032015"
"444","FBgn0032017"
"445","FBgn0032020"
"446","FBgn0010265"
"447","FBgn0260439"
"448","FBgn0032030"
"449","FBgn0032031"
"450","FBgn0032032"
"451","FBgn0027094"
"452","FBgn0032035"
"453","FBgn0032036"
"454","FBgn0020497"
"455","FBgn0014417"
"456","FBgn0032042"
"457","FBgn0002887"
"458","FBgn0027780"
"459","FBgn0026718"
"460","FBgn0032050"
"461","FBgn0032051"
"462","FBgn0032052"
"463","FBgn0032053"
"464","FBgn0032055"
"465","FBgn0032059"
"466","FBgn0260861"
"467","FBgn0032061"
"468","FBgn0003209"
"469","FBgn0032074"
"470","FBgn0032075"
"471","FBgn0032078"
"472","FBgn0032080"
"473","FBgn0052985"
"474","FBgn0052984"
"475","FBgn0032082"
"476","FBgn0032083"
"477","FBgn0040963"
"478","FBgn0013746"
"479","FBgn0040964"
"480","FBgn0032089"
"481","FBgn0032090"
"482","FBgn0051708"
"483","FBgn0028433"
"484","FBgn0010314"
"485","FBgn0026439"
"486","FBgn0085395"
"487","FBgn0032116"
"488","FBgn0011232"
"489","FBgn0032119"
"490","FBgn0085211"
"491","FBgn0002973"
"492","FBgn0004868"
"493","FBgn0032120"
"494","FBgn0032129"
"495","FBgn0028479"
"496","FBgn0032135"
"497","FBgn0000273"
"498","FBgn0015393"
"499","FBgn0011207"
"500","FBgn0032138"
"501","FBgn0011291"
"502","FBgn0025117"
"503","FBgn0032147"
"504","FBgn0032149"
"505","FBgn0032151"
"506","FBgn0085212"
"507","FBgn0032153"
"508","FBgn0032154"
"509","FBgn0010520"
"510","FBgn0004867"
"511","FBgn0032156"
"512","FBgn0032157"
"513","FBgn0040064"
"514","FBgn0025700"
"515","FBgn0259712"
"516","FBgn0051713"
"517","FBgn0032168"
"518","FBgn0032169"
"519","FBgn0032170"
"520","FBgn0015664"
"521","FBgn0011272"
"522","FBgn0011584"
"523","FBgn0032181"
"524","FBgn0032187"
"525","FBgn0051874"
"526","FBgn0032191"
"527","FBgn0032192"
"528","FBgn0032194"
"529","FBgn0250843"
"530","FBgn0032195"
"531","FBgn0032198"
"532","FBgn0004419"
"533","FBgn0000229"
"534","FBgn0051717"
"535","FBgn0032200"
"536","FBgn0259482"
"537","FBgn0032204"
"538","FBgn0032205"
"539","FBgn0260750"
"540","FBgn0260749"
"541","FBgn0032208"
"542","FBgn0032210"
"543","FBgn0005322"
"544","FBgn0032213"
"545","FBgn0032214"
"546","FBgn0027491"
"547","FBgn0032216"
"548","FBgn0032217"
"549","FBgn0032219"
"550","FBgn0011703"
"551","FBgn0032221"
"552","FBgn0032222"
"553","FBgn0032223"
"554","FBgn0019932"
"555","FBgn0051715"
"556","FBgn0032224"
"557","FBgn0032225"
"558","FBgn0085396"
"559","FBgn0032229"
"560","FBgn0027568"
"561","FBgn0041723"
"562","FBgn0053303"
"563","FBgn0032233"
"564","FBgn0032234"
"565","FBgn0032235"
"566","FBgn0004106"
"567","FBgn0032236"
"568","FBgn0000413"
"569","FBgn0051716"
"570","FBgn0032240"
"571","FBgn0003942"
"572","FBgn0025366"
"573","FBgn0032243"
"574","FBgn0032244"
"575","FBgn0262601"
"576","FBgn0022268"
"577","FBgn0004915"
"578","FBgn0032249"
"579","FBgn0032250"
"580","FBgn0027052"
"581","FBgn0032251"
"582","FBgn0051719"
"583","FBgn0032256"
"584","FBgn0032258"
"585","FBgn0032259"
"586","FBgn0086347"
"587","FBgn0032261"
"588","FBgn0021953"
"589","FBgn0032264"
"590","FBgn0032265"
"591","FBgn0032266"
"592","FBgn0051721"
"593","FBgn0032271"
"594","FBgn0051872"
"595","FBgn0043825"
"596","FBgn0032275"
"597","FBgn0051871"
"598","FBgn0032286"
"599","FBgn0023496"
"600","FBgn0024740"
"601","FBgn0032287"
"602","FBgn0032290"
"603","FBgn0032291"
"604","FBgn0032292"
"605","FBgn0032293"
"606","FBgn0027868"
"607","FBgn0032294"
"608","FBgn0032296"
"609","FBgn0032297"
"610","FBgn0032305"
"611","FBgn0260453"
"612","FBgn0069354"
"613","FBgn0004363"
"614","FBgn0027453"
"615","FBgn0027363"
"616","FBgn0032314"
"617","FBgn0261871"
"618","FBgn0032321"
"619","FBgn0010612"
"620","FBgn0041781"
"621","FBgn0004872"
"622","FBgn0026147"
"623","FBgn0000146"
"624","FBgn0015756"
"625","FBgn0021761"
"626","FBgn0250837"
"627","FBgn0032338"
"628","FBgn0032340"
"629","FBgn0032341"
"630","FBgn0261983"
"631","FBgn0027582"
"632","FBgn0032346"
"633","FBgn0028700"
"634","FBgn0040211"
"635","FBgn0032350"
"636","FBgn0259822"
"637","FBgn0040232"
"638","FBgn0020270"
"639","FBgn0032361"
"640","FBgn0032363"
"641","FBgn0085191"
"642","FBgn0032368"
"643","FBgn0032372"
"644","FBgn0032373"
"645","FBgn0020309"
"646","FBgn0032378"
"647","FBgn0259225"
"648","FBgn0000588"
"649","FBgn0032381"
"650","FBgn0032382"
"651","FBgn0005664"
"652","FBgn0032388"
"653","FBgn0032391"
"654","FBgn0032393"
"655","FBgn0032394"
"656","FBgn0032395"
"657","FBgn0032398"
"658","FBgn0032401"
"659","FBgn0032404"
"660","FBgn0027505"
"661","FBgn0032407"
"662","FBgn0032408"
"663","FBgn0032409"
"664","FBgn0029137"
"665","FBgn0015797"
"666","FBgn0032415"
"667","FBgn0051860"
"668","FBgn0000114"
"669","FBgn0051759"
"670","FBgn0262475"
"671","FBgn0032424"
"672","FBgn0032429"
"673","FBgn0032430"
"674","FBgn0020443"
"675","FBgn0032433"
"676","FBgn0032435"
"677","FBgn0032436"
"678","FBgn0032437"
"679","FBgn0051858"
"680","FBgn0085424"
"681","FBgn0004394"
"682","FBgn0032442"
"683","FBgn0032444"
"684","FBgn0032445"
"685","FBgn0032447"
"686","FBgn0032449"
"687","FBgn0032450"
"688","FBgn0032451"
"689","FBgn0032456"
"690","FBgn0040508"
"691","FBgn0040509"
"692","FBgn0040510"
"693","FBgn0040506"
"694","FBgn0020367"
"695","FBgn0032464"
"696","FBgn0032465"
"697","FBgn0020368"
"698","FBgn0032467"
"699","FBgn0032470"
"700","FBgn0032471"
"701","FBgn0028410"
"702","FBgn0032474"
"703","FBgn0024291"
"704","FBgn0032477"
"705","FBgn0032479"
"706","FBgn0032480"
"707","FBgn0032482"
"708","FBgn0032486"
"709","FBgn0032487"
"710","FBgn0032488"
"711","FBgn0032492"
"712","FBgn0051851"
"713","FBgn0051730"
"714","FBgn0032497"
"715","FBgn0051729"
"716","FBgn0032506"
"717","FBgn0032507"
"718","FBgn0022069"
"719","FBgn0032509"
"720","FBgn0051852"
"721","FBgn0032511"
"722","FBgn0032512"
"723","FBgn0025724"
"724","FBgn0032517"
"725","FBgn0032518"
"726","FBgn0032519"
"727","FBgn0032520"
"728","FBgn0032522"
"729","FBgn0032524"
"730","FBgn0032525"
"731","FBgn0259984"
"732","FBgn0028546"
"733","FBgn0028527"
"734","FBgn0051814"
"735","FBgn0028848"
"736","FBgn0028541"
"737","FBgn0024846"
"738","FBgn0028932"
"739","FBgn0028539"
"740","FBgn0028931"
"741","FBgn0028538"
"742","FBgn0027844"
"743","FBgn0028919"
"744","FBgn0001965"
"745","FBgn0004406"
"746","FBgn0001961"
"747","FBgn0015271"
"748","FBgn0026373"
"749","FBgn0260407"
"750","FBgn0028509"
"751","FBgn0028940"
"752","FBgn0028872"
"753","FBgn0261563"
"754","FBgn0052971"
"755","FBgn0028916"
"756","FBgn0028531"
"757","FBgn0261535"
"758","FBgn0015791"
"759","FBgn0015546"
"760","FBgn0028844"
"761","FBgn0028913"
"762","FBgn0003016"
"763","FBgn0051835"
"764","FBgn0260953"
"765","FBgn0028838"
"766","FBgn0028868"
"767","FBgn0028886"
"768","FBgn0028887"
"769","FBgn0086711"
"770","FBgn0040228"
